youtube_id,content_type,title,url,playlist_raw,ip_series,collection_tags,original_content_id,is_anchor,parent_candidate,link_status,review_status
"ZHRLOnGdKIA","long_form","He didn't make money for 8 years | Saeju Jeong (1/2)","https://www.youtube.com/watch?v=ZHRLOnGdKIA","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"dKKo2_rblF4","long_form","An Associate Dean of Stanford Was A Bottom Student | Paul Kim","https://www.youtube.com/watch?v=dKKo2_rblF4","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"FeDnW5wYjwA","long_form","The Fastest Growing SaaS Startup in History | deel","https://www.youtube.com/watch?v=FeDnW5wYjwA","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"fZT3_O2Uazk","long_form","Why I Choose Web3 Rather Than Big Tech | Sisun Lee (2/2)","https://www.youtube.com/watch?v=fZT3_O2Uazk","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"lWeiVX7PnEQ","long_form","Things I Learned From 10 Years In Silicon Valley | Sisun Lee (1/2)","https://www.youtube.com/watch?v=lWeiVX7PnEQ","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"e-arMLz2qdI","long_form","6 Years Journey From 0 to 60 Million Subscribers | Nas Daily","https://www.youtube.com/watch?v=e-arMLz2qdI","Founder Focused",,"Founder Focused","e-arMLz2qdI","TRUE",,"Linked","Approved"
"lV61TDHiALo","long_form","Follow this 2-week plan to build a great businessㅣPhil Libin (2/2)","https://www.youtube.com/watch?v=lV61TDHiALo","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"XM6NHNxS39E","long_form","How I built 400 million users app EvernoteㅣPhil Libin (1/2)","https://www.youtube.com/watch?v=XM6NHNxS39E","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"llevwQZ3VtA","long_form","A Learning App Tutors 10 Million Children Worldwide | Enuma","https://www.youtube.com/watch?v=llevwQZ3VtA","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"GP5jXj0O4OM","long_form","Best startup lessons from Y CombinatorㅣMichael Seibel","https://www.youtube.com/watch?v=GP5jXj0O4OM","Founder Focused",,"Founder Focused","GP5jXj0O4OM","TRUE",,"Linked","Approved"
"aHGIVzYqScs","long_form","How a World Cup soccer player built a $600 million shoe brand | Allbirds","https://www.youtube.com/watch?v=aHGIVzYqScs","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"ivZsEVNe4tM","long_form","We are team EO🙌","https://www.youtube.com/watch?v=ivZsEVNe4tM","Team EO","Team EO","",,"FALSE",,"Unassigned","Not reviewed"
"T7fBRhxa6Io","shorts","Founder who raised $207M: Don't take all your mentor's advice","https://www.youtube.com/shorts/T7fBRhxa6Io","",,"","Ewgx5oBvMG8","FALSE",,"Linked","Approved"
"TQhgvpHHBA0","shorts","Everyone called her crazy for dropping out. She hit $1.3B at 30.","https://www.youtube.com/shorts/TQhgvpHHBA0","",,"","Do_LjDsisIE","FALSE",,"Linked","Approved"
"cK7YsAqC8gU","shorts","His first product was 80% defective. But he didn't shut it down","https://www.youtube.com/shorts/cK7YsAqC8gU","",,"","paDb5w0DywU","FALSE",,"Linked","Approved"
"_TudOifRvR0","shorts","Everyone said it's impossible, we made a whole plan in 3 days","https://www.youtube.com/shorts/_TudOifRvR0","",,"","cpTqYOiJcfQ","FALSE",,"Linked","Approved"
"-bSd0BcAOLA","shorts","Stanford Economist Found: AI Is Cutting Junior Jobs First","https://www.youtube.com/shorts/-bSd0BcAOLA","","The Thinking Mode","","FX0De_ccROU","FALSE",,"Linked","Approved"
"ZeUkH3QPtaM","shorts","Hedge fund dropout, $21M at 22: youngest quant, but I was miserable","https://www.youtube.com/shorts/ZeUkH3QPtaM","",,"","bRBLPJguU-0","FALSE",,"Linked","Approved"
"yfEF9XZCDdg","shorts","$500M company CEO: I almost deleted what made $500K","https://www.youtube.com/shorts/yfEF9XZCDdg","",,"","uB-u2__tkHQ","FALSE",,"Linked","Approved"
"RlnPBQdMtfc","shorts","“The kid who stopped you” how an 18-year-old raised $6.2M","https://www.youtube.com/shorts/RlnPBQdMtfc","",,"","KBY0z6jSQsA","FALSE",,"Linked","Approved"
"5c5EDpOWC3M","shorts","7 years of failure. One tweet. Then $20M in 60 days","https://www.youtube.com/shorts/5c5EDpOWC3M","",,"","ViAGOAc2LAo","FALSE",,"Linked","Approved"
"iQ8g6idrTVQ","shorts","He cold-emailed Mark Cuban from a Motel 6 and got a reply in 45 min","https://www.youtube.com/shorts/iQ8g6idrTVQ","",,"","Y-i5-nhqVzQ","FALSE",,"Linked","Approved"
"WKae352TMVo","shorts","$1.3B brand founder: I begged 100 rivals for one chip","https://www.youtube.com/shorts/WKae352TMVo","",,"","paDb5w0DywU","FALSE",,"Linked","Approved"
"H12VYEUgiw4","shorts","Stanford China Researcher: Weakness of China's Engineering State","https://www.youtube.com/shorts/H12VYEUgiw4","Short","The Thinking Mode","Short","yPux3-jDW9g","FALSE",,"Linked","Approved"
"dfFtLluY0Cg","shorts","$5.6B Company Founder: Dota 2 Taught Me Leadership","https://www.youtube.com/shorts/dfFtLluY0Cg","Short","Before 25","Short","I-BERqPprrc","FALSE",,"Linked","Approved"
"pqXotNnWEh4","shorts","He worked nights in the library and built a $65M Company","https://www.youtube.com/shorts/pqXotNnWEh4","",,"","OlbVneKLyD0","FALSE",,"Linked","Approved"
"5rWx5CAUd2s","shorts","25-year-old who sold for $640M: In week one, it saved a life","https://www.youtube.com/shorts/5rWx5CAUd2s","Short",,"Short","CvpMjBDHFGM","FALSE",,"Linked","Approved"
"IOXNYeo-nKw","shorts","A 25 year old $1.3B founder explains what young people are truly capable of","https://www.youtube.com/shorts/IOXNYeo-nKw","Short","Before 25","Short","sdN7zw_XbuU","FALSE",,"Linked","Approved"
"5WB2hOiQoYA","shorts","AI Solved Olympiad Math That This Math Professor Couldn’t","https://www.youtube.com/shorts/5WB2hOiQoYA","Short",,"Short","xWYb7tImErI","FALSE",,"Linked","Approved"
"7WE-Kwg-A94","shorts","$25M founder: My dating app was too good to get funded","https://www.youtube.com/shorts/7WE-Kwg-A94","Short",,"Short","YN7DT39f_Ak","FALSE",,"Linked","Approved"
"sp5fraoDreo","shorts","Fake News, Bots, Algorithms. What’s Actually True?","https://www.youtube.com/shorts/sp5fraoDreo","Short",,"Short","cpTqYOiJcfQ","FALSE",,"Linked","Approved"
"40FXCjeSsg8","shorts","Founders Don’t Get Stable Conditions","https://www.youtube.com/shorts/40FXCjeSsg8","Short",,"Short","cpTqYOiJcfQ","FALSE",,"Linked","Approved"
"oAHBbSFpfuA","shorts","Why Money Makes Predictions More Accurate | The Kalshi Story","https://www.youtube.com/shorts/oAHBbSFpfuA","Short",,"Short","cpTqYOiJcfQ","FALSE",,"Linked","Approved"
"2fsnZXCILK8","shorts","How quants really make money.","https://www.youtube.com/shorts/2fsnZXCILK8","",,"","oCojK75W-N8","FALSE",,"Linked","Approved"
"jrfJVBNwMBI","shorts","The Essential Skill After Prompting","https://www.youtube.com/shorts/jrfJVBNwMBI","","The Thinking Mode","","kvZKl7eLSX8","FALSE",,"Linked","Approved"
"FQ5HoNt0UO8","shorts","Waste Time Now, Win Later","https://www.youtube.com/shorts/FQ5HoNt0UO8","Short","The Thinking Mode","Short","kvZKl7eLSX8","FALSE",,"Linked","Approved"
"uuaZ8fcQK5A","shorts","How to Use AI Without Getting Dumber","https://www.youtube.com/shorts/uuaZ8fcQK5A","Short","The Thinking Mode","Short","kvZKl7eLSX8","FALSE",,"Linked","Approved"
"Li0u9RcpIrE","shorts","The Best AI User Has Never Touched a Computer","https://www.youtube.com/shorts/Li0u9RcpIrE","Short","The Thinking Mode","Short","kvZKl7eLSX8","FALSE",,"Linked","Approved"
"4DuA0et4KIA","shorts","Humanity's Last Hope","https://www.youtube.com/shorts/4DuA0et4KIA","Short","The Thinking Mode","Short","I08ZeY7QcrE","FALSE",,"Linked","Approved"
"YYU-8QAOty8","shorts","How to be AI native","https://www.youtube.com/shorts/YYU-8QAOty8","Short","The Thinking Mode","Short","I08ZeY7QcrE","FALSE",,"Linked","Approved"
"LZj8LhKzdoQ","shorts","AI is Not a Silver Bullet  #ai","https://www.youtube.com/shorts/LZj8LhKzdoQ","Short","The Thinking Mode","Short","I08ZeY7QcrE","FALSE",,"Linked","Approved"
"giu4HoFiC-U","shorts","STOP Using 10 Agents #ai #tech","https://www.youtube.com/shorts/giu4HoFiC-U","Short","The Thinking Mode","Short","wEsjK3Smovw","FALSE",,"Linked","Approved"
"-nABoYfYBf0","shorts","And How to Prevent It #ai #tech","https://www.youtube.com/shorts/-nABoYfYBf0","Short","The Thinking Mode","Short","wEsjK3Smovw","FALSE",,"Linked","Approved"
"TYJiwf0jpmU","shorts","Why You Can’t Get a Job  #ai #tech","https://www.youtube.com/shorts/TYJiwf0jpmU","Short","The Thinking Mode","Short","wEsjK3Smovw","FALSE",,"Linked","Approved"
"LjTuW5ngG-Y","shorts","Stop Chasing the Goal  #ai #tech #careeradvice","https://www.youtube.com/shorts/LjTuW5ngG-Y","Short",,"Short","Ha2l1ecmI2Y","FALSE",,"Linked","Approved"
"rH6sSlNGfy8","shorts","Turn Your Weakness Into Strength #ai #tech #careeradvice","https://www.youtube.com/shorts/rH6sSlNGfy8","Short",,"Short","Ha2l1ecmI2Y","FALSE",,"Linked","Approved"
"2tu5ZitkKWw","shorts","The Secret of Greatness","https://www.youtube.com/shorts/2tu5ZitkKWw","Short",,"Short","Ha2l1ecmI2Y","FALSE",,"Linked","Approved"
